Summary,Issue id,Parent id,Issue Type,Status,Fix versions,Description,Epic Color,Epic Link,Epic Name,Epic Status,Story Points,Label,Attachment
Edit Profile,20451,,Story,To Do,Version 1,,,Account Management,,,5,axisagile-sample-data,
List car for rent,20452,,Story,To Do,Version 1,,,Rental Listing,,,20,axisagile-sample-data,
Update car listing,20453,,Story,To Do,Version 1,,,Rental Listing,,,13,axisagile-sample-data,
Remove car listing,20454,,Story,To Do,Version 1,,,Rental Listing,,,5,axisagile-sample-data,
Search for a car,20455,,Story,To Do,Version 1,,,Booking,,,40,axisagile-sample-data,
Book a car,20456,,Story,To Do,Version 1,,,Booking,,,20,axisagile-sample-data,
Edit a booking,20457,,Story,To Do,Version 1,,,Booking,,,20,axisagile-sample-data,
Cancel a booking,20458,,Story,To Do,Version 1,,,Booking,,,13,axisagile-sample-data,
Favourite a car,20459,,Story,To Do,Version 2,,,Booking,,,13,axisagile-sample-data,
Site Analytics,20460,,Story,To Do,Version 2,,,Reporting,,,40,axisagile-sample-data,
Save credit card details,20461,,Story,To Do,Version 2,,,Account Management,,,20,axisagile-sample-data,
Create HTML,20462,20446,Sub-task,In Progress,,,,,,,,axisagile-sample-data,
Create CSS,20463,20446,Sub-task,In Progress,,,,,,,,axisagile-sample-data,
Create relevant database tables,20464,20446,Sub-task,In Progress,,,,,,,,axisagile-sample-data,
Create API for registering user details,20465,20446,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Wire up HTML form to API call,20466,20446,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Test page,20467,20446,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Review with PO,20468,20446,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Create HTML & CSS for Registration Page,20469,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Add API interface,20470,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Add relevant database tables,20471,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Wire up HTML form to API,20472,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Test,20473,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Review with PO,20474,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Create test cases,20475,20447,Sub-task,To Do,,,,,,,,axisagile-sample-data,
Create test cases,20476,20446,Sub-task,Done,,,,,,,,axisagile-sample-data,
